wl,alpha,beta
270.0,0.49291599999999997,0.607258
273.0,0.5152220000000001,0.594118
276.0,0.535568,0.583397
279.0,0.553966,0.5745279999999999
282.0,0.570732,0.566914
285.0,0.58619,0.560204
288.0,0.6005119999999999,0.554346
291.0,0.6138819999999999,0.54906
294.0,0.626467,0.5442359999999999
297.0,0.638364,0.539959
300.0,0.6496460000000001,0.536217
303.0,0.660353,0.533022
306.0,0.670505,0.530478
309.0,0.680141,0.528533
312.0,0.689297,0.5270729999999999
315.0,0.6979770000000001,0.526199
318.0,0.70618,0.526004
321.0,0.7138680000000001,0.526694
324.0,0.721073,0.5281600000000001
327.0,0.727791,0.530413
330.0,0.734019,0.533415
333.0,0.739703,0.537304
336.0,0.744798,0.542064
339.0,0.749276,0.5476300000000001
342.0,0.753066,0.554124
345.0,0.7561220000000001,0.561472
348.0,0.75839,0.569751
351.0,0.759916,0.578573
354.0,0.760724,0.587799
357.0,0.76088,0.5971390000000001
360.0,0.760412,0.60658
363.0,0.759373,0.615955
366.0,0.757812,0.625138
369.0,0.755777,0.634017
372.0,0.753259,0.642586
375.0,0.750289,0.650764
378.0,0.746863,0.65856
381.0,0.743025,0.665842
384.0,0.738815,0.672538
387.0,0.7342609999999999,0.678621
390.0,0.729422,0.684037
393.0,0.7242930000000001,0.688828
396.0,0.718903,0.692994
399.0,0.713263,0.696558
402.0,0.707396,0.699531
405.0,0.7013199999999999,0.70194
408.0,0.6950430000000001,0.703816
411.0,0.6885859999999999,0.705186
414.0,0.681962,0.706083
417.0,0.675157,0.706547
420.0,0.6682239999999999,0.706612
423.0,0.661184,0.706317
426.0,0.654039,0.705708
429.0,0.646827,0.704824
432.0,0.639554,0.703709
435.0,0.632205,0.702399
438.0,0.624818,0.7009310000000001
441.0,0.617375,0.69933
444.0,0.6098720000000001,0.697612
447.0,0.602308,0.6958
450.0,0.5947100000000001,0.693944
453.0,0.587105,0.692071
456.0,0.579483,0.6902020000000001
459.0,0.57184,0.688355
462.0,0.564153,0.686533
465.0,0.5564560000000001,0.684768
468.0,0.548758,0.683075
471.0,0.541086,0.681467
474.0,0.533423,0.679951
477.0,0.525772,0.678537
480.0,0.518135,0.6772279999999999
483.0,0.510523,0.676037
486.0,0.5029319999999999,0.67497
489.0,0.49537299999999995,0.674027
492.0,0.487838,0.6732130000000001
495.0,0.48032600000000003,0.672532
498.0,0.472841,0.671986
501.0,0.46538100000000004,0.6715760000000001
504.0,0.457942,0.671304
507.0,0.450528,0.6711779999999999
510.0,0.443141,0.671201
513.0,0.43579399999999996,0.671359
516.0,0.428483,0.671642
519.0,0.42118199999999995,0.6720689999999999
522.0,0.41389499999999996,0.6726479999999999
525.0,0.40664,0.673384
528.0,0.399448,0.674253
531.0,0.392355,0.675175
534.0,0.385359,0.676157
537.0,0.378395,0.677175
540.0,0.371374,0.678284
543.0,0.364237,0.679591
546.0,0.357023,0.6811189999999999
549.0,0.34984499999999996,0.682879
552.0,0.342848,0.684792
555.0,0.336097,0.686716
558.0,0.32953499999999997,0.688554
561.0,0.322966,0.690308
564.0,0.316201,0.692098
567.0,0.309216,0.694067
570.0,0.302205,0.696304
573.0,0.295417,0.6986829999999999
576.0,0.28893,0.700972
579.0,0.282429,0.703018
582.0,0.275443,0.7049810000000001
585.0,0.267662,0.707321
588.0,0.259341,0.710534
591.0,0.25138699999999997,0.714747
594.0,0.24498699999999998,0.719486
597.0,0.240858,0.7237859999999999
600.0,0.23874099999999998,0.726645
603.0,0.237352,0.7275590000000001
606.0,0.234921,0.726801
609.0,0.229952,0.725262
612.0,0.221716,0.724061
615.0,0.21025100000000002,0.724287
618.0,0.19634200000000002,0.726821
621.0,0.181473,0.7321840000000001
624.0,0.16786199999999998,0.740314
627.0,0.158164,0.750312
630.0,0.154425,0.760263
633.0,0.156999,0.767712
636.0,0.163405,0.77083
639.0,0.16958499999999999,0.769612
642.0,0.172042,0.765328
645.0,0.168654,0.760084
648.0,0.158944,0.756009
651.0,0.14413499999999999,0.754929
654.0,0.127054,0.757988
657.0,0.11180999999999999,0.765038
660.0,0.10260899999999999,0.774189
663.0,0.10153200000000001,0.782129
666.0,0.10672000000000001,0.785509
669.0,0.11270799999999999,0.7826770000000001
672.0,0.112648,0.774491
675.0,0.100891,0.763878
678.0,0.074389,0.755102
681.0,0.033744,0.753211
684.0,-0.015112,0.763097
687.0,-0.059473000000000005,0.787429
690.0,-0.082131,0.823311
693.0,-0.070572,0.860958
696.0,-0.027019,0.888444
699.0,0.032942,0.8990469999999999
702.0,0.092153,0.8933989999999999
705.0,0.139821,0.875993
708.0,0.171768,0.851482
711.0,0.187176,0.8232649999999999
714.0,0.18675,0.793315
717.0,0.170695,0.762871
720.0,0.138259,0.73302
723.0,0.087784,0.7053550000000001
726.0,0.017394,0.6827840000000001
729.0,-0.072899,0.67047
732.0,-0.176895,0.6757489999999999
735.0,-0.27473200000000003,0.707213
738.0,-0.333594,0.766085
741.0,-0.325687,0.838326
744.0,-0.254907,0.900078
747.0,-0.154364,0.935067
750.0,-0.058319,0.9419930000000001
753.0,0.013841999999999998,0.9277569999999999
756.0,0.056023,0.900016
759.0,0.06636,0.8650110000000001
762.0,0.044633,0.829152
765.0,-0.005207,0.799397
768.0,-0.076049,0.780022
771.0,-0.156088,0.776913
774.0,-0.223687,0.794128
777.0,-0.25811999999999996,0.827257
780.0,-0.250881,0.8656440000000001
783.0,-0.21112899999999998,0.898012
786.0,-0.15571400000000002,0.918209
789.0,-0.098885,0.925532
792.0,-0.048868,0.921967
795.0,-0.009172,0.910004
798.0,0.019264,0.891705
801.0,0.037016,0.868374
804.0,0.044808,0.8407459999999999
807.0,0.042197000000000005,0.809467
810.0,0.029084,0.774718
813.0,0.004926,0.736521
816.0,-0.031322,0.6947939999999999
819.0,-0.08129600000000001,0.649541
822.0,-0.14715999999999999,0.601171
825.0,-0.231371,0.55095
828.0,-0.335497,0.5021
831.0,-0.458165,0.461556
834.0,-0.58983,0.44167700000000004
837.0,-0.705659,0.45919099999999996
840.0,-0.76803,0.525388
843.0,-0.750151,0.630555
846.0,-0.6624180000000001,0.744534
849.0,-0.542375,0.839565
852.0,-0.42329799999999995,0.905508
855.0,-0.320854,0.9453370000000001
858.0,-0.237224,0.9661040000000001
861.0,-0.171253,0.9734700000000001
864.0,-0.119893,0.9716790000000001
867.0,-0.080381,0.963491
870.0,-0.050575,0.9506620000000001
873.0,-0.028895,0.934313
876.0,-0.014208000000000002,0.91517
879.0,-0.005714,0.89371
882.0,-0.002869,0.8702540000000001
885.0,-0.005328,0.845024
888.0,-0.012466,0.81865
891.0,-0.024564,0.79102
894.0,-0.041782,0.7621829999999999
897.0,-0.06425,0.7323350000000001
900.0,-0.092147,0.701747
